CarrierName,Date,NumFlights,ProportionalCancellations,ProportionalDelays
United Air Lines Inc.,01/18/01,2037,0.0240549828179,0.0481091258713
United Air Lines Inc.,01/19/01,2038,0.0426889106968,0.067106117598
United Air Lines Inc.,01/20/01,1884,0.0403397027601,0.0334673083364
United Air Lines Inc.,01/21/01,1987,0.0578761952693,0.0775795089609
United Air Lines Inc.,01/22/01,2037,0.0314187530682,0.0284930740861
United Air Lines Inc.,01/23/01,2037,0.0471281296024,0.0662995032171
United Air Lines Inc.,01/24/01,2037,0.0279823269514,0.0748435777735
United Air Lines Inc.,01/25/01,2035,0.0570024570025,0.0905993706484
United Air Lines Inc.,01/26/01,2038,0.0569185475957,0.130691883735
United Air Lines Inc.,01/27/01,1884,0.0291932059448,0.0458825543571
United Air Lines Inc.,01/28/01,1986,0.02416918429,0.102082634623
United Air Lines Inc.,01/29/01,2036,0.0952848722986,0.124543315833
United Air Lines Inc.,01/30/01,2037,0.0382916053019,0.0501210303093
United Air Lines Inc.,01/31/01,2037,0.0230731467845,0.0332030772988
Delta Air Lines Inc.,01/15/01,2486,0.0309734513274,0.0600034761724
Delta Air Lines Inc.,01/16/01,2486,0.0277554304103,0.0344276140354
Delta Air Lines Inc.,01/17/01,2485,0.0446680080483,0.0376111619218
Delta Air Lines Inc.,01/18/01,2480,0.0556451612903,0.117744407712
Delta Air Lines Inc.,01/19/01,2487,0.0514676316848,0.220070965142
Delta Air Lines Inc.,01/20/01,2463,0.125456760049,0.118713790939
Delta Air Lines Inc.,01/21/01,2476,0.114297253635,0.11073702502
Delta Air Lines Inc.,01/22/01,2489,0.030534351145,0.0517244839392
Delta Air Lines Inc.,01/23/01,2487,0.0281463610776,0.0139591735978
Delta Air Lines Inc.,01/24/01,2488,0.0233118971061,0.0368139700641
Delta Air Lines Inc.,01/25/01,2484,0.0265700483092,0.0465294638919
Delta Air Lines Inc.,01/26/01,2479,0.0258168616378,0.0636628239912
Delta Air Lines Inc.,01/27/01,2457,0.03256003256,0.0271170219129
Delta Air Lines Inc.,01/28/01,2467,0.0231049858127,0.0293442662141
Delta Air Lines Inc.,01/29/01,2480,0.0225806451613,0.0429762094594
Delta Air Lines Inc.,01/30/01,2475,0.0428282828283,0.045042826042
Delta Air Lines Inc.,01/31/01,2408,0.0186877076412,0.0203437615134
Delta Air Lines Inc.,01/01/01,2412,0.214759535655,0.377605623773
Delta Air Lines Inc.,01/02/01,2488,0.109324758842,0.237742760967
Delta Air Lines Inc.,01/03/01,2486,0.0559131134352,0.135458461842
Delta Air Lines Inc.,01/04/01,2485,0.035814889336,0.0963431278099
Delta Air Lines Inc.,01/05/01,2478,0.047215496368,0.131363980234
Delta Air Lines Inc.,01/06/01,2456,0.053338762215,0.0538773058845
Delta Air Lines Inc.,01/07/01,2469,0.0344268934791,0.0631891963864
Delta Air Lines Inc.,01/08/01,2483,0.0455094643576,0.0739967726281
Delta Air Lines Inc.,01/09/01,2478,0.0395480225989,0.0369465082323
Delta Air Lines Inc.,01/10/01,2471,0.0586806960745,0.0903876987998
Delta Air Lines Inc.,01/11/01,2483,0.0447039871124,0.0669567993276
Delta Air Lines Inc.,01/12/01,2481,0.0282144296655,0.0992963065083
Delta Air Lines Inc.,01/13/01,2450,0.0265306122449,0.030111609986
Delta Air Lines Inc.,01/14/01,2474,0.0238480194018,0.0386992807574
America West Airlines Inc.,01/01/01,613,0.068515497553,0.12226036823
America West Airlines Inc.,01/02/01,628,0.0254777070064,0.136783380847
America West Airlines Inc.,01/03/01,629,0.0127186009539,0.124241303246
America West Airlines Inc.,01/04/01,632,0.0126582278481,0.0666966672121
America West Airlines Inc.,01/05/01,635,0.0346456692913,0.0739192033122
America West Airlines Inc.,01/06/01,566,0.0335689045936,0.0722102971854
America West Airlines Inc.,01/07/01,624,0.0336538461538,0.0731727713664
