CarrierName,Date,ProportionalCancellations
Continental Air Lines Inc.,07/15/01,0.00845864661654
Continental Air Lines Inc.,07/16/01,0.0111016225448
Continental Air Lines Inc.,07/17/01,0.0162671232877
Continental Air Lines Inc.,07/18/01,0.00343642611684
Continental Air Lines Inc.,07/19/01,0.00679694137638
Continental Air Lines Inc.,07/20/01,0.00677966101695
Continental Air Lines Inc.,07/21/01,0.00454545454545
Continental Air Lines Inc.,07/22/01,0.00281690140845
Continental Air Lines Inc.,07/23/01,0.0136402387042
Continental Air Lines Inc.,07/24/01,0.00512820512821
Continental Air Lines Inc.,07/25/01,0.0120068610635
Continental Air Lines Inc.,07/26/01,0.0203908241291
Continental Air Lines Inc.,07/27/01,0.00593220338983
Continental Air Lines Inc.,07/28/01,0.00340909090909
Continental Air Lines Inc.,07/29/01,0.0093896713615
Continental Air Lines Inc.,07/30/01,0.0187553282182
Continental Air Lines Inc.,07/31/01,0.0034188034188
US Airways Inc.,08/01/01,0.00538160469667
US Airways Inc.,08/02/01,0.0201078960275
US Airways Inc.,08/03/01,0.0235178833905
US Airways Inc.,08/05/01,0.0211267605634
US Airways Inc.,08/06/01,0.0122428991185
US Airways Inc.,08/07/01,0.0107737512243
US Airways Inc.,08/08/01,0.0171400587659
US Airways Inc.,08/09/01,0.0127576054956
US Airways Inc.,08/10/01,0.11263467189
US Airways Inc.,08/12/01,0.0508048289738
US Airways Inc.,08/13/01,0.0832925036747
US Airways Inc.,08/14/01,0.0205680705191
US Airways Inc.,08/15/01,0.0200980392157
US Airways Inc.,08/16/01,0.0146914789422
US Airways Inc.,08/17/01,0.0161764705882
US Airways Inc.,08/19/01,0.00864260294865
US Airways Inc.,08/20/01,0.0206998521439
US Airways Inc.,08/21/01,0.0123213405619
US Airways Inc.,08/22/01,0.00789733464956
US Airways Inc.,08/23/01,0.0133070478068
US Airways Inc.,08/24/01,0.0133136094675
US Airways Inc.,08/25/01,0.0133832976445
US Airways Inc.,08/26/01,0.0136432541688
US Airways Inc.,08/27/01,0.0394282897979
US Airways Inc.,08/28/01,0.05960591133
US Airways Inc.,08/29/01,0.00888011840158
US Airways Inc.,08/30/01,0.026134122288
US Airways Inc.,08/31/01,0.0463282405126
US Airways Inc.,08/04/01,0.0270127118644
US Airways Inc.,08/11/01,0.0620689655172
US Airways Inc.,08/18/01,0.0180658873539
United Air Lines Inc.,08/01/01,0.0138185168125
United Air Lines Inc.,08/02/01,0.0658682634731
United Air Lines Inc.,08/03/01,0.0294523699954
United Air Lines Inc.,08/04/01,0.0169163847269
United Air Lines Inc.,08/05/01,0.0118091639112
United Air Lines Inc.,08/06/01,0.0202578268877
United Air Lines Inc.,08/07/01,0.0253339474896
United Air Lines Inc.,08/08/01,0.0253222836096
United Air Lines Inc.,08/09/01,0.0326887661142
United Air Lines Inc.,08/10/01,0.049953746531
United Air Lines Inc.,08/11/01,0.0227602905569
United Air Lines Inc.,08/12/01,0.023178807947
United Air Lines Inc.,08/13/01,0.031797235023
United Air Lines Inc.,08/14/01,0.0202764976959
United Air Lines Inc.,08/15/01,0.0133640552995
United Air Lines Inc.,08/16/01,0.0129151291513
United Air Lines Inc.,08/17/01,0.00968188105118
United Air Lines Inc.,08/18/01,0.0179003386551
United Air Lines Inc.,08/19/01,0.0127840909091
United Air Lines Inc.,08/20/01,0.0364223144306
United Air Lines Inc.,08/21/01,0.0285846011987
United Air Lines Inc.,08/22/01,0.0783410138249
United Air Lines Inc.,08/23/01,0.029520295203
United Air Lines Inc.,08/24/01,0.0327188940092
United Air Lines Inc.,08/25/01,0.0372340425532
United Air Lines Inc.,08/26/01,0.0132262635805
United Air Lines Inc.,08/27/01,0.0317679558011
United Air Lines Inc.,08/28/01,0.0331644403501
United Air Lines Inc.,08/29/01,0.0244014732965
United Air Lines Inc.,08/30/01,0.0377880184332
United Air Lines Inc.,08/31/01,0.0464367816092
Delta Air Lines Inc.,08/26/01,0.0157284768212
Delta Air Lines Inc.,08/27/01,0.0360547036884
Delta Air Lines Inc.,08/28/01,0.029702970297
Delta Air Lines Inc.,08/29/01,0.015708970649
Delta Air Lines Inc.,08/30/01,0.0219917012448
Delta Air Lines Inc.,08/31/01,0.0244711737868
Delta Air Lines Inc.,08/01/01,0.0231884057971
Delta Air Lines Inc.,08/02/01,0.0335126189491
Delta Air Lines Inc.,08/03/01,0.0264462809917
Delta Air Lines Inc.,08/04/01,0.0374843815077
Delta Air Lines Inc.,08/05/01,0.0199335548173
Delta Air Lines Inc.,08/06/01,0.0219370860927
Delta Air Lines Inc.,08/07/01,0.0280759702725
Delta Air Lines Inc.,08/08/01,0.0317919075145
Delta Air Lines Inc.,08/09/01,0.0334987593052
Delta Air Lines Inc.,08/10/01,0.0730198019802
Delta Air Lines Inc.,08/11/01,0.0532889258951
Delta Air Lines Inc.,08/12/01,0.0343827671914
Delta Air Lines Inc.,08/13/01,0.0629139072848
Delta Air Lines Inc.,08/14/01,0.0251650165017
Delta Air Lines Inc.,08/15/01,0.0223232740802
Delta Air Lines Inc.,08/16/01,0.0214876033058
Delta Air Lines Inc.,08/17/01,0.028901734104
Delta Air Lines Inc.,08/18/01,0.0379641218189
Delta Air Lines Inc.,08/19/01,0.0178201409034
Delta Air Lines Inc.,08/20/01,0.0297520661157
Delta Air Lines Inc.,08/21/01,0.0239175257732
Delta Air Lines Inc.,08/22/01,0.0226804123711
Delta Air Lines Inc.,08/23/01,0.0215053763441
Delta Air Lines Inc.,08/24/01,0.0148576145274
Delta Air Lines Inc.,08/25/01,0.0175145954962
American Eagle Airlines Inc.,08/01/01,0.0236275191105
American Eagle Airlines Inc.,08/02/01,0.100139082058
American Eagle Airlines Inc.,08/03/01,0.0514961725818
American Eagle Airlines Inc.,08/04/01,0.0501193317422
American Eagle Airlines Inc.,08/05/01,0.0382395382395
American Eagle Airlines Inc.,08/06/01,0.0166898470097
American Eagle Airlines Inc.,08/07/01,0.0208768267223
American Eagle Airlines Inc.,08/08/01,0.0159833217512
American Eagle Airlines Inc.,08/09/01,0.0632823365786
American Eagle Airlines Inc.,08/10/01,0.107391910739
American Eagle Airlines Inc.,08/11/01,0.0509554140127
American Eagle Airlines Inc.,08/12/01,0.0511896178803
American Eagle Airlines Inc.,08/13/01,0.0901525658807
American Eagle Airlines Inc.,08/14/01,0.0278357689631
American Eagle Airlines Inc.,08/15/01,0.0347463516331
American Eagle Airlines Inc.,08/16/01,0.0299234516354
American Eagle Airlines Inc.,08/17/01,0.0779944289694
American Eagle Airlines Inc.,08/18/01,0.0381861575179
American Eagle Airlines Inc.,08/19/01,0.0296242774566
American Eagle Airlines Inc.,08/20/01,0.0496551724138
American Eagle Airlines Inc.,08/21/01,0.0722145804677
American Eagle Airlines Inc.,08/22/01,0.119752236752
